customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,source
7590-VHVEG,0,-0.43991649313097614,1,0,-1.2774445836787656,0,1,0,0,2,0,0,0,0,0,1,2,-1.1603229160349193,29.85,0,kaggle
5575-GNVDE,1,-0.43991649313097614,0,0,0.06632741908223598,1,0,0,2,0,2,0,0,0,1,0,3,-0.2596289419448806,1889.5,0,kaggle
3668-QPYBK,1,-0.43991649313097614,0,0,-1.2367242199587352,1,0,0,2,2,0,0,0,0,0,1,3,-0.3626603559551803,108.15,1,kaggle
7795-CFOCW,1,-0.43991649313097614,0,0,0.5142514200025698,0,1,0,2,0,2,2,0,0,1,0,0,-0.7465354629935549,1840.75,0,kaggle
9237-HQITU,0,-0.43991649313097614,0,0,-1.2367242199587352,1,0,1,0,0,0,0,0,0,0,1,2,0.19736523310080326,151.65,1,kaggle
9305-CDSKC,0,-0.43991649313097614,0,0,-0.9924020376385531,1,2,1,0,0,2,0,2,2,0,1,2,1.1595456961969886,820.5,1,kaggle
1452-KIOVK,1,-0.43991649313097614,0,1,-0.4223169455581282,1,2,1,0,2,0,0,2,0,0,1,1,0.8089065291619363,1949.4,0,kaggle
6713-OKOMC,0,-0.43991649313097614,0,0,-0.9109613101984924,0,1,0,2,0,0,0,0,0,0,0,3,-1.1636465100352518,301.9,0,kaggle
7892-POOKP,0,-0.43991649313097614,1,0,-0.1779947632379461,1,2,1,0,0,2,2,2,2,0,1,2,1.330710787214099,3046.05,1,kaggle
6388-TABGU,1,-0.43991649313097614,0,1,1.2064976032430856,1,0,0,2,2,0,0,0,0,1,0,0,-0.28621769394753876,3487.95,0,kaggle
9763-GRSKD,1,-0.43991649313097614,1,1,-0.7888002190384014,1,0,0,2,0,0,0,0,0,0,1,3,-0.4922805219681379,587.45,0,kaggle
7469-LKBCI,1,-0.43991649313097614,0,0,-0.6666391278783103,1,0,2,1,1,1,1,1,1,2,0,1,-1.5225946620711341,326.8,0,kaggle
8091-TTVAX,1,-0.43991649313097614,1,0,1.0436161483629645,1,2,1,0,0,2,0,2,2,1,0,1,1.182810854199314,5681.1,0,kaggle
0280-XJGEX,1,-0.43991649313097614,0,0,0.6771328748826912,1,2,1,0,2,2,0,2,2,0,1,0,1.2941512532104444,5036.3,1,kaggle
5129-JLPIS,1,-0.43991649313097614,0,0,-0.30015585439803716,1,0,1,2,0,2,2,2,2,0,1,2,1.3539759452164248,2686.05,0,kaggle
3655-SNQYZ,0,-0.43991649313097614,1,1,1.4915401492832983,1,2,1,2,2,2,2,2,2,2,0,1,1.611554480242174,7895.15,0,kaggle
